         419927 function calls (406503 primitive calls) in 5.220 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
      237    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1197(_set_markercolor)
       93    0.001    0.000    0.027    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/patches.py:259(get_transform)
       28    0.001    0.000    0.037    0.001 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/backend_bases.py:1365(__init__)
      2/1    0.001    0.001    0.095    0.095 /Users/guiguiclaudon/Documents/GitHub/Genetic-Programming/Modules/genetic.py:63(genetic)
       67    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/artist.py:1155(update_from)
     1346    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      323    0.001    0.000    0.009    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/font_manager.py:899(copy)
       25    0.001    0.000    0.001    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
       79    0.001    0.000    0.002    0.000 /Users/guiguiclaudon/Documents/Python/anaconda3/envs/spyder/lib/python3.12/site-packages/matplotlib/lines.py:1138(set_linestyle)
